,year,country,age,species_,month,dead,gender,specie,edad
698,2002,usa,41,"Mako shark, 400-lb ",Jul,Y,M,unspecified,41.0
699,2002,brazil,22,Bull or tiger shark,Jul,N,M,tiger,22.0
700,2002,usa,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",Jul,N,F,bull,9.0
701,2002,usa,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,Jun,N,M,unspecified,28.0
702,2002,usa,50,  ,Jun,N,M,unspecified,50.0
703,2002,south africa,50,1.5 to 2.5 m [5' to 8.25'] copper shark,Jun,N,M,unspecified,50.0
704,2002,usa,24,3.7 m to 4.3 m [12' to 14'] white shark,May,N,M,white,24.0
705,2002,usa,16,1 m  shark,May,N,M,unspecified,16.0
706,2002,usa,55,3' blacktip shark,May,N,M,unspecified,55.0
707,2002,australia,23,"White shark, 6m [20']",Apr,Y,M,white,23.0
708,2002,usa,34,1.2 m [4'] shark,Apr,N,M,unspecified,34.0
709,2002,bahamas,43,"Bull shark, 400-lb ",Apr,N,M,bull,43.0
710,2002,usa,41,3'  shark,Apr,N,M,unspecified,41.0
711,2002,usa,29,0.9 m [3'] shark,Apr,N,M,unspecified,29.0
712,2002,usa,17,Tiger shark,Mar,N,M,tiger,17.0
713,2002,usa,11,  ,Mar,N,F,unspecified,11.0
714,2002,usa,20,4' shark,Mar,N,M,unspecified,20.0
715,2002,usa,39,"Nurse shark, 1m ",Mar,N,M,unspecified,39.0
716,2002,usa,31,"Spinner shark, 3' to 4' ",Mar,N,M,unspecified,31.0
717,2002,australia,30 or 36,"1.5 m [5'] ""whaler shark""",Feb,N,M,unspecified,15.0
718,2002,australia,35,C. leucas tooth fragment recovered from kayak,Feb,N,M,unspecified,35.0
719,2002,australia,20,"Tiger shark, 3 m [10']",Jan,N,M,tiger,20.0
720,2002,south africa,16,Zambesi shark?,Jan,N,M,unspecified,16.0
721,2002,south africa,26,Unidentified,Jan,N,M,unspecified,26.0
722,2002,usa,35,"Tiger shark, 1.8 m [6'] ",Jan,N,M,tiger,35.0
723,2001,australia,20,Bronze whaler shark?,Oct,N,F,unspecified,20.0
724,2001,mexico,26,"Tiger shark, 1.8 m [6']",Sep,N,M,tiger,26.0
725,2001,usa,21,4' shark,Sep,N,M,unspecified,21.0
726,2001,usa,42,Questionable incident - shark bite may have precipitated drowning,Sep,Y,M,unspecified,42.0
727,2001,usa,6½,2' to 3.5' shark,Sep,N,M,unspecified,6.0
728,2001,usa,28,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,Y,M,white,28.0
729,2001,usa,23,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,N,F,white,23.0
730,2001,usa,20,1.5 m [5'] shark,Sep,N,M,unspecified,20.0
731,2001,usa,10,bull shark,Sep,Y,M,bull,10.0
732,2001,bahamas,44,3 m [10'] bull shark,Aug,N,M,bull,44.0
733,2001,usa,17,a small shark,Aug,N,M,unspecified,17.0
734,2001,usa,20,Possibly  a blacktip or spinner shark,Aug,N,M,unspecified,20.0
735,2001,usa,19,"3' shark, possibly  a blacktip or spinner shark",Aug,N,M,unspecified,19.0
736,2001,usa,19,"Blacktip shark, 5' to 6' ",Aug,N,M,unspecified,19.0
737,2001,bahamas,43,1.9 m [6.5'] bull shark,Aug,N,M,bull,43.0
738,2001,usa,18,0.9 m  [3'] shark,Jul,N,M,unspecified,18.0
739,2001,usa,8,"Bull shark, 2.3 m [7.5'] ",Jul,N,M,bull,8.0
740,2001,usa,52,"White shark, 2.4 m to 3 m [8' to 10'] ",Jun,N,M,white,52.0
741,2001,usa,29,2' shark,Jun,N,F,unspecified,29.0
742,2001,usa,45,1.2 m to 1.5 m [4' to 5'] shark,May,N,M,unspecified,45.0
743,2001,usa,12,Possibly a juvenile blacktip or spinner shark,Apr,N,M,unspecified,12.0
744,2001,usa,21,Possibly a juvenile blacktip or spinner shark,Apr,N,M,unspecified,21.0
746,2001,usa,22,Possibly a 1.5 m [5'] blacktip or spinner shark,Apr,N,M,unspecified,22.0
747,2001,usa,19,Possibly a juvenile blacktip or spinner shark,Apr,N,M,unspecified,19.0
748,2001,south africa,46,"White shark, 2.7 m [9'] ",Apr,N,M,white,46.0
749,2001,usa,26,"""small shark""",Apr,N,M,unspecified,26.0
750,2001,australia,40,Bronze whaler shark,Apr,N,M,unspecified,40.0
751,2001,australia,40,"Bronze whaler shark, 2.5 m [8.25']  k",Feb,N,M,unspecified,40.0
752,2000,fiji,47,6 m [20'] shark,Dec,Y,M,unspecified,47.0
753,2000,australia,38,"Bronze whaler shark, 2.5 m [8.25'] ",Dec,N,M,unspecified,38.0
754,2000,usa,73,1.2 m to 1.8 m [4' to 6'] shark,Nov,N,M,unspecified,73.0
755,2000,australia,52,"White shark, 4.9 m [16'] ",Nov,N,M,white,52.0
756,2000,australia,49,"White shark, 5 m [16.5'] ",Nov,Y,M,white,49.0
757,2000,usa,27,"White shark, 2.4 m to 3 m [8' to 10'] ",Nov,N,M,white,27.0
758,2000,usa,56,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,N,F,tiger,56.0
759,2000,usa,17,2.1 to 2.4 m [7' to 8'] shark,Oct,N,M,unspecified,17.0
760,2000,usa,23,"Blacktip shark, 2' ",Oct,N,M,unspecified,23.0
761,2000,australia,17,White shark,Sep,Y,M,white,17.0
762,2000,australia,25,"White shark, 4 m to 5 m [13' to 16.5'] ",Sep,Y,M,white,25.0
763,2000,okinawa,31,"White shark, 2.5 m ",Sep,Y,M,white,31.0
764,2000,usa,25,60 cm to 90 cm [2' to 3'] shark,Sep,N,M,unspecified,25.0
765,2000,south africa,48,"White shark, 3.5 m [11.5']  male ",Sep,N,M,white,48.0
766,2000,usa,40,1.5 m [5'] shark,Sep,N,M,unspecified,40.0
767,2000,reunion,27,"Tiger shark, 3 m [10'] ",Sep,N,M,tiger,27.0
768,2000,usa,47,A 2' shark was seen in the area by witnesses,Aug,N,M,unspecified,47.0
769,2000,usa,69,"Thought to involve a 2.7 m [9'], 400-lb bull shark",Aug,Y,M,bull,69.0
770,2000,usa,53,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",Aug,N,M,tiger,53.0
771,2000,usa,27,juvenile shark,Aug,N,M,unspecified,27.0
772,2000,usa,44,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",Aug,N,F,unspecified,44.0
773,2000,usa,12,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",Jul,N,F,tiger,12.0
774,2000,usa,55,"Nurse shark, 1.2 m [4'] ",Jul,N,F,unspecified,55.0
775,2000,usa,13,0.9 m [3'] shark,Jul,N,F,unspecified,13.0
776,2000,usa,19,"0.9 m [3'] shark,  probably a blacktip or spinner shark",Jul,N,F,unspecified,19.0
777,2000,usa,17,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",Jun,N,M,unspecified,17.0
778,2000,usa,55,Bull shark?,Jun,N,M,bull,55.0
779,2000,usa,44,Bull shark,Jun,N,M,bull,44.0
780,2000,australia,26,2.5 m shark,Mar,N,M,unspecified,26.0
781,2000,usa,14,1.8 m [6'] shark,Mar,N,F,unspecified,14.0
782,2000,usa,37,1.2 m [4'] shark,Mar,N,M,unspecified,37.0
783,2000,new caledonia,35,Tiger shark?,Mar,Y,M,tiger,35.0
784,2000,usa,39,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",,N,M,unspecified,39.0
785,1999,brazil,39,Shark involvement not confirmed,Dec,N,M,unspecified,39.0
786,1999,usa,51,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Nov,N,F,tiger,51.0
787,1999,brazil,39,1.3 to 1.6 m shark,Nov,N,M,unspecified,39.0
788,1999,usa,16,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,N,M,tiger,16.0
789,1999,usa,37,White shark,Sep,N,M,white,37.0
790,1999,usa,28,"""a small shark""",Aug,N,M,unspecified,28.0
791,1999,marshall islands,23,7' shark,Aug,N,M,unspecified,23.0
