,year,type,country,age,species_,month,gender,dead
126,2015.0,Unprovoked,usa,43,4' shark,Jun,M,N
127,2015.0,Unprovoked,usa,6,Sandtiger shark,Jun,M,N
128,2015.0,Invalid,australia,37,White shark,Jun,F,N
129,2015.0,Unprovoked,usa,16,Bull shark,Jun,M,N
130,2015.0,Unprovoked,usa,12,Bull shark,Jun,F,N
131,2015.0,Unprovoked,usa,13,4' shark,Jun,F,N
132,2015.0,Unprovoked,usa,11,"Bull shark, 5'",Jun,M,N
133,2015.0,Unprovoked,reunion,47,"Bull shark, 2.5 m",Jun,M,N
134,2015.0,Unprovoked,french polynesia,19,1m to 1.2 m shark,May,M,N
135,2015.0,Unprovoked,usa,18,5' shark,May2015,M,N
136,2015.0,Unprovoked,south africa,29,"White shark, 3.5 m",May,M,N
137,2015.0,Unprovoked,usa,63,3- to 4-foot shark,Apr,M,N
138,2015.0,Unprovoked,australia,26,"White shark, 6 m",Apr,M,N
139,2015.0,Unprovoked,australia,71,"White shark, 3 m",Jun,M,N
140,2015.0,Unprovoked,reunion,13,Bull shark,Apr,M,Y
141,2015.0,Unprovoked,usa,70,Bull shark,Apr,M,N
142,2015.0,Invalid,brazil,23,No shark involvement,Mar,M,
143,2015.0,Unprovoked,usa,58,"Tiger shark, 8 to 12 feet",Mar,M,N
144,2015.0,Unprovoked,french polynesia,9,Blacktip shark,Mar,M,N
145,2015.0,Unprovoked,reunion,22,"Tiger shark, 3.5 m",Feb,F,Y
146,2015.0,Unprovoked,australia,41,3.5 to 4 m shark,Feb,M,Y
147,2015.0,Unprovoked,australia,35,2 m to  3 m shark,Feb,M,N
148,2015.0,Boating,australia,57,"Bull shark, 1.3 m",Jan,M,N
149,2015.0,Provoked,usa,20,4' shark,Jan,M,N
150,2015.0,Unprovoked,bahamas,34,White shark or oceanic whitetip shark,Jan,F,N
151,2015.0,Unprovoked,south africa,15,"Raggedtooth shark, 1.3 m",Jan,M,N
152,2014.0,Unprovoked,australia,17,"White shark, 4 to 5 m",Dec,M,Y
153,2014.0,Unprovoked,usa,50,"White shark, 8' to 10'",Dec,M,N
154,2014.0,Provoked,australia,40s,1.5 m shark,Dec,M,N
155,2014.0,Unprovoked,australia,17,Tiger shark,Dec,M,Y
156,2014.0,Unprovoked,usa,44,2' shark,Nov,M,N
157,2014.0,Unprovoked,usa,53,1.5 m shark,Nov,M,N
158,2014.0,Unprovoked,usa,34,"Tiger shark, 12'",Oct,F,N
159,2014.0,Unprovoked,australia,13,1 m shark,Oct,F,N
160,2014.0,Unprovoked,usa,29,Blacktip shark,Oct,M,N
161,2014.0,Unprovoked,usa,15,Blacktip shark,Oct,M,N
162,2014.0,Unprovoked,usa,28,8' to 10' shark,Oct,M,N
163,2014.0,Unprovoked,australia,23,"2 white shark: 13' & 9""8""",Oct,M,N
164,2014.0,Unprovoked,australia,50,7' shark,Sep,M,Y
165,2014.0,Unprovoked,usa,43,Bull shark,Sep,M,N
166,2014.0,Boating,usa,20s,"White shark, 12' to 14'",Sep,F,N
167,2014.0,Provoked,usa,52,3' to 4' shark,Sep,M,N
168,2014.0,Unprovoked,usa,13,Spinner shark,Aug,F,N
169,2014.0,Unprovoked,usa,7," Bull shark, 5'",Aug,M,N
170,2014.0,Unprovoked,usa,10,4' tp 5' shark,Aug,M,N
171,2014.0,Unprovoked,south africa,20,White shark,Aug,M,N
172,2014.0,Unprovoked,usa,61,6' to 8' shark,Jul,M,N
173,2014.0,Unprovoked,usa,39,4' shark,Jul,M,N
174,2014.0,Invalid,bahamas,63,Shark involvement not confirmed,Jul,M,
175,2014.0,Unprovoked,usa,19,4' to 5' shark,Jul,M,N
176,2014.0,Unprovoked,usa,16," Sandbar shark, 3' to 4'",Jun,M,N
177,2014.0,Unprovoked,australia,39,"Bronze whaler shark, 1.5m",Jun,M,N
178,2014.0,Unprovoked,usa,22,Bull shark,Jun,F,N
179,2014.0,Unprovoked,australia,35," white shark, 15' ",May,M,N
180,2014.0,Unprovoked,usa,40,4' to 5' shark,May,F,N
181,2014.0,Unprovoked,usa,23,3' shark,May,M,N
182,2014.0,Unprovoked,australia,63,3 m to 4 m white shark,Apr,F,Y
183,2014.0,Invalid,australia,38,Shark involvement prior to death not confirmed,Mar,M,
184,2014.0,Unprovoked,south africa,66,2 m shark,Mar,M,Y
185,2014.0,Unprovoked,french polynesia,21,Blacktip reef shark ,Feb,M,N
186,2014.0,Unprovoked,new zealand,28,7-gill shark?,Feb,M,N
187,2013.0,Unprovoked,new caledonia,37,Reported to involve a bull shark,Dec,M,N
188,2013.0,Unprovoked,south africa,19,"White shark, 3m ",Dec,M,N
189,2013.0,Unprovoked,usa,29,"Tiger shark, 10' to 12'",Dec,M,N
